"ROUTE_YEAR","ROUTE_MONTH","ORIGIN","TOTAL_LEG_MILES","WEIGHTED_MILES_PER_STOP","MEDIAN_ROUTE_DAY_MILES_PER_STOP","P75_MILES_PER_STOP","MAX_MILES_PER_STOP","GEOGRAPHY_MULTIPLIER","ROUTE_DAYS","TOTAL_STOPS"
2026,7,XD_8144_IL_Naperville.YZER,70026.67,5.94,5.21,7.26,48.74,1.16,1129,11793
2026,7,XD_8120_VA_Madisonheights.YZER,2309.43,5.61,5.08,10.04,16.19,1.15,91,412
2026,7,XD_8120_VA_Norfolk.YZER,9263.34,5.8,5.07,13.83,32.63,1.15,283,1596
2026,7,XD_8165_TX_Midland.HDSD,8188.58,9.83,4.83,27.97,103.4,1.14,148,833
2026,7,XD_8195_FL_Orlando.YZER,37750.76,7.0,4.82,7.57,366.95,1.14,526,5391
2026,7,XD_8173_OR_Portland.DSOA,23641.3,5.69,4.79,8.24,46.65,1.13,487,4153
2026,7,XD_8147_CA_PalmSprings.YZER,7423.98,6.4,4.67,9.96,26.81,1.12,138,1160
2026,7,XD_8165_KS_Wichita.CAPL,11405.17,8.54,4.67,13.25,43.1,1.12,288,1336
2026,7,XD_8183_MO_StLouis.YZER,87393.51,13.03,4.57,17.77,285.0,1.12,558,6705
2026,7,XD_8162_MI_Livonia.YZER,67922.37,5.08,4.54,6.42,37.83,1.11,1267,13376
2026,7,"8112.YZER",3217.85,5.13,4.54,7.38,11.25,1.11,82,627
2026,7,XD_8144_WI_Milwaukee.YZER,18984.99,6.01,4.49,5.82,156.29,1.11,234,3160
2026,7,XD_8182_CA_Sacramento.YZER,29278.05,5.64,4.47,9.19,40.22,1.11,611,5192
2026,7,XD_8180_UT_SaltLakeCityDSOA.DSOA,5508.07,3.51,4.41,6.71,18.83,1.11,366,1571
2026,7,XD_8182_CA_UnionCity.YZER,44186.64,4.89,4.4,6.5,37.64,1.1,868,9029
2026,7,XD_8195_FL_WestPalmBeach.YZER,14611.53,5.14,4.34,5.89,20.58,1.1,201,2844
2026,7,XD_8115_TX_Austin.YZER,37701.04,7.02,4.27,9.43,49.27,1.09,394,5373
2026,7,XD_8131_CO_DenverYzer.YZER,16542.02,9.44,4.26,21.23,65.57,1.09,92,1753
2026,7,XD_8115_LA_BatonRouge.HDSD,15156.84,7.45,4.21,11.56,78.37,1.09,303,2034
2026,7,XD_8120_MD_Hanover.YZER,53155.86,5.11,4.17,7.21,46.98,1.09,974,10399
2026,7,XD_8145_IA_CedarRapids.CAPL,6097.47,5.43,4.12,13.0,26.01,1.08,235,1122
2026,7,XD_8115_TX_Houston.YZER,70648.2,5.39,3.95,7.75,107.36,1.07,916,13118
2026,7,XD_8144_WI_Madison.YZER,34597.09,12.17,3.95,13.15,731.22,1.07,375,2842
2026,7,"8173.DSOA",2658.86,3.55,3.93,4.58,10.18,1.07,69,750
2026,7,XD_8180_ID_Boise.RIDS,9356.85,5.55,3.88,6.41,21.62,1.06,230,1686
2026,7,"8147.YZER",80723.15,6.9,3.81,7.91,225.05,1.06,1409,11695
2026,7,XD_8147_CA_Ontario.YZER,45675.96,7.15,3.77,7.24,1422.63,1.05,621,6386
2026,7,XD_8195_FL_Gainesville.HDSD,4398.76,6.92,3.75,12.25,23.56,1.05,178,636
2026,7,XD_8165_TX_Carrollton.DSOA,75913.51,5.15,3.69,5.83,45.91,1.05,1209,14743
2026,7,XD_8182_CA_Redding.FCCD,8060.42,14.45,3.65,30.68,40.68,1.04,127,558
2026,7,XD_8165_AR_Springdale.CAPL,8689.99,4.27,3.62,4.51,13.35,1.04,145,2034
2026,7,"8131.YZER",33043.58,5.93,3.5,6.33,79.13,1.03,302,5572
2026,7,XD_8173_OR_CentralPoint.DSOA,39391.96,40.32,3.42,14.82,1752.62,1.02,214,977
2026,7,XD_8195_FL_Miami.YZER,30566.6,6.36,3.38,6.48,403.97,1.02,381,4807
2026,7,XD_8112_WA_Auburn.YZER,60222.41,4.52,3.29,5.25,478.45,1.01,1216,13329
2026,7,XD_8145_MN_StPaul.CAPL,47498.05,5.51,3.21,5.79,435.9,1.0,1198,8627
2026,7,"8170.AVBV",19392.44,3.75,3.16,6.25,255.67,1.0,475,5173
2026,7,XD_8145_NE_Omaha.CAPL,17916.29,7.05,3.08,13.62,36.54,0.99,409,2543
2026,7,XD_8147_CA_SanDiego.YZER,36664.33,6.85,3.0,4.28,379.08,0.98,487,5349
2026,7,XD_8170_AZ_Tucson.DSOA,18487.05,5.74,2.97,8.03,33.8,0.98,300,3222
2026,7,XD_8160_NY_Farmingdale.YZER,38002.31,3.48,2.97,4.75,34.24,0.98,733,10929
2026,7,XD_8170_NV_LasVegas.YZER,13674.87,4.37,2.91,3.49,164.53,0.98,261,3127
2026,7,XD_8155_NJ_Carlstadt.YZER,48081.03,2.97,2.81,4.51,19.48,0.97,1326,16214
2026,7,XD_8147_CA_LosAngeles.YZER,124069.72,8.58,2.72,3.62,449.72,0.96,1351,14453
2026,7,XD_8173_OR_Bend.DSOA,6315.0,7.9,2.57,15.18,58.2,0.94,145,799
2026,7,XD_8147_CA_Bakersfield.YZER,2976.32,2.87,2.43,4.06,4.09,0.92,115,1037
2026,7,XD_8170_AZ_Chandler.AVBV,17577.36,3.27,2.39,3.18,52.63,0.92,368,5382
2026,7,XD_8131_SD_RapidCity.CAPL,4643.29,10.55,2.16,16.71,34.86,0.89,91,440
2026,7,XD_8130_AK_Anchorage.WPXC,6501.82,6.09,2.16,3.65,26.22,0.89,202,1067
2026,7,XD_8160_NJ_Carlstadt.YZER,5514.33,1.89,2.16,2.53,21.04,0.89,247,2918
2026,7,XD_8183_KS_LeavenworthCMOP.ACKG,455.36,3.23,2.07,10.35,10.35,0.88,44,141
2026,7,XD_8165_KS_Emporia.CAPL,1122.66,11.94,1.52,39.16,39.16,0.8,36,94
2026,7,XD_8160_MA_ChelmsfordCMOP.YZER,1.77,0.01,0.01,0.01,0.02,0.18,22,151
2026,7,XD_8115_TX_SanAntonioHEB.YZER,0.13,0.0,0.0,0.0,0.0,0.0,23,1110
2026,8,"8130.LYAF",125484.51,256.61,131.84,293.99,777.83,1.5,114,489
2026,8,XD_8165_TX_Dallas.HDSD,458.37,57.3,57.3,57.3,57.3,1.5,4,8
2026,8,"8110.AQUV",221.66,55.42,55.42,55.42,55.42,1.5,1,4
2026,8,"8155.PXCR",905.79,50.32,50.32,50.32,50.32,1.5,9,18
2026,8,XD_8170_AZ_Flagstaff.AVBV,48108.17,97.98,45.71,156.83,423.91,1.5,60,491
2026,8,XD_8131_MT_Billings.ARHG,24704.07,34.94,35.67,84.96,432.81,1.5,156,707
2026,8,XD_8131_CO_ColoradoSprings.ARHG,3527.64,34.93,35.65,35.65,35.65,1.5,15,101
2026,8,XD_8145_IA_ClearLake.CAPL,10964.5,29.24,35.03,40.27,45.96,1.5,150,375
