,JOB_ID,ROUTE_ID,CNSLDTN_ID,FILL_DC_CD,DC_CD,ASN_TYPE_CD,ASN_TYPE_DESC,DELIVERY_TYPE,CARRIER_SCAC_NAME,CARRIER_SCAC_CD,DLVRY_ACTL_DATETIME,DELIVERY_SEQ,TOTAL_RATE,TOPSIDE_COST,LASTMILE_TOTAL_COST,LASTMILE_BASE_COST,LASTMILE_FUEL_COST,LASTMILE_MISC_COST,STOP_COUNT_VAL_ROUTE_LVL,TOTE_COUNT_VAL_ROUTE_LVL,STOP_COUNT_VAL,TOTE_COUNT_VAL,ROUTE_COUNT_VAL,DISTANCE_VAL,helper column,delivery date,year,month,stop helper,dist stop flag,_rc_total,_fm_cnt,cost per stop,cost_per_stop_excl_ts,ts week start,ts week end,ts week,ts key,_ts_stop_eligible,ts daily cons key,ts daily distinct stop flag,_ts_total,_ts_cnt,ts_rate_per_stop,ts cps stop flag,ts_cost_per_stop,delivery stop flag,route_stop_count,fill_dc_stop_count
3567,8162-H06-020-431206-260527,8162_H06,C_717269,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,20,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_H06|XD_8162_OH_CLEVELAND.YZER|20260527,2026-05-27,2026,5,8162_H06|XD_8162_OH_CLEVELAND.YZER|20260527|20,0,277.28,6.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260527|C_717269,0,40317.08,449,89.79305122494432,0,0.0,0,6,2625
3568,8162-H05-025-253079-260529,8162_H05,C_253079,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-29 23:59:59,25,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_H05|XD_8162_OH_CLEVELAND.YZER|20260529,2026-05-29,2026,5,8162_H05|XD_8162_OH_CLEVELAND.YZER|20260529|25,1,296.03,8.0,126.79680122494432,37.00375,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260529|C_253079,1,40317.08,449,89.79305122494432,1,89.79305122494432,1,8,2625
3569,8163-G07-005-589418-260528,8163_G07,C_599132,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-28 23:59:59,5,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8163_G07|XD_8162_OH_CLEVELAND.YZER|20260528,2026-05-28,2026,5,8163_G07|XD_8162_OH_CLEVELAND.YZER|20260528|5,0,0.0,1.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260528|C_599132,0,40317.08,449,89.79305122494432,0,0.0,0,1,2625
3570,8162-H05-005-224273-260527,8162_H05,C_224273,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,5,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_H05|XD_8162_OH_CLEVELAND.YZER|20260527,2026-05-27,2026,5,8162_H05|XD_8162_OH_CLEVELAND.YZER|20260527|5,0,297.33,8.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260527|C_224273,0,40317.08,449,89.79305122494432,0,0.0,0,8,2625
3571,8163-G03-005-723011-260527,8163_G03,C_810447,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,5,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8163_G03|XD_8162_OH_CLEVELAND.YZER|20260527,2026-05-27,2026,5,8163_G03|XD_8162_OH_CLEVELAND.YZER|20260527|5,1,0.0,1.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260527|C_810447,0,40317.08,449,89.79305122494432,0,0.0,1,1,2625
3572,8162-G01-015-273236-260528,8162_G01,C_273236,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-28 23:59:59,15,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,8162_G01|XD_8162_OH_CLEVELAND.YZER|20260528,2026-05-28,2026,5,8162_G01|XD_8162_OH_CLEVELAND.YZER|20260528|15,1,254.71,7.0,126.18019408208718,36.387142857142855,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260528|C_273236,1,40317.08,449,89.79305122494432,1,89.79305122494432,1,7,2625
3573,8162-G02-020-598488-260526,8162_G02,C_598488,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-26 23:59:59,20,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_G02|XD_8162_OH_CLEVELAND.YZER|20260526,2026-05-26,2026,5,8162_G02|XD_8162_OH_CLEVELAND.YZER|20260526|20,0,442.47,8.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260526|C_598488,0,40317.08,449,89.79305122494432,0,0.0,0,8,2625
3574,8163-G04-005-814672-260526,8163_G04,C_712383,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-26 23:59:59,5,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8163_G04|XD_8162_OH_CLEVELAND.YZER|20260526,2026-05-26,2026,5,8163_G04|XD_8162_OH_CLEVELAND.YZER|20260526|5,0,0.0,2.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260526|C_712383,0,40317.08,449,89.79305122494432,0,0.0,0,2,2625
3575,8162-G07-005-893022-260529,8162_G07,C_599132,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-29 23:59:59,5,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_G07|XD_8162_OH_CLEVELAND.YZER|20260529,2026-05-29,2026,5,8162_G07|XD_8162_OH_CLEVELAND.YZER|20260529|5,0,304.55,7.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260529|C_599132,0,40317.08,449,89.79305122494432,0,0.0,0,7,2625
3576,8162-G02-020-198160-260527,8162_G02,C_598488,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-27 23:59:59,20,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0,8162_G02|XD_8162_OH_CLEVELAND.YZER|20260527,2026-05-27,2026,5,8162_G02|XD_8162_OH_CLEVELAND.YZER|20260527|20,0,442.47,8.0,0.0,0.0,2026-05-25,2026-05-31,2026-05-25 / 2026-05-31,XD_8162_OH_CLEVELAND.YZER|20260525,True,XD_8162_OH_CLEVELAND.YZER|20260527|C_598488,0,40317.08,449,89.79305122494432,0,0.0,0,8,2625
